Experiment,Overall MSE,Overall MAE,Original MSE,Original MAE,Event MSE,Zero MSE,Rule Score,Event Points,Zero Points,Notes,Path
ettm1_calibrated_fixed_zero_prior_alpha_025,0.30814144015312195,0.3542165160179138,6.43132209777832,1.3043001890182495,0.6854112413193914,0.6854112413193914,0.6511425856473677,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_calibrated_fixed_zero_prior_alpha_025_0
ettm1_calibrated_fixed_zero_prior_alpha_05,0.3157895505428314,0.35928207635879517,6.500326156616211,1.3189624547958374,1.1397284855917396,1.1397284855917396,0.6075705722425485,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_calibrated_fixed_zero_prior_alpha_05_0
ettm1_calibrated_pure_dlinear,0.3070307970046997,0.35280048847198486,6.433851718902588,1.2998449802398682,0.6213584778800362,0.6213584778800362,0.5863107006437542,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_calibrated_pure_dlinear_0
ettm1_calibrated_residual_prior,0.3100946247577667,0.35440850257873535,6.498556137084961,1.306132197380066,0.7923897637260671,0.7923897637260671,0.6744211488729669,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_calibrated_residual_prior_0
ettm1_calibrated_rule_prior_plus_dataset_aware_loss,0.35528793931007385,0.3751746416091919,7.546795845031738,1.3847441673278809,0.6937722100151372,0.6937722100151372,0.6662080614979135,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_calibrated_rule_prior_plus_dataset_aware_loss_0
ettm1_core_dataset_aware_loss,0.3663480877876282,0.38734644651412964,7.775156497955322,1.4302791357040405,0.4488643767341387,0.4488643767341387,0.6130116472076558,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_core_dataset_aware_loss_0
ettm1_core_pure_dlinear,0.3070307970046997,0.35280048847198486,6.433851718902588,1.2998449802398682,0.6213584778800362,0.6213584778800362,0.5863107006437542,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_core_pure_dlinear_0
ettm1_dlinear_baseline_confirm,0.3070307970046997,0.35280048847198486,6.433851718902588,1.2998449802398682,0.0,0.0,0.0,0,0,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_dlinear_baseline_confirm_0
ettm1_guarded_longtail_finetune,0.3059435486793518,0.34844642877578735,6.347504138946533,1.2654902935028076,0.582882593548442,0.582882593548442,0.5893554834390948,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_guarded_longtail_finetune_0
ettm1_guarded_longtail_valguard_rerun,0.3059435486793518,0.34844642877578735,6.347504138946533,1.2654902935028076,0.582882593548442,0.582882593548442,0.5893554834390948,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_guarded_longtail_valguard_rerun_0
ettm1_intervention_dataset_aware_loss,0.3663480877876282,0.38734644651412964,7.775156497955322,1.4302791357040405,0.4488643767341387,0.4488643767341387,0.6130116472076558,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_dataset_aware_loss_0
ettm1_intervention_finetune_event_only,0.30960965156555176,0.3538827896118164,6.480480670928955,1.3027496337890625,0.7748079451303033,0.7748079451303033,0.6177220254027768,129024,129024,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_finetune_event_only_0
ettm1_intervention_hard_intervention_oracle,0.35081472992897034,0.3710794150829315,6.854153156280518,1.3514878749847412,3.236338297525791,3.236338297525791,0.424819714141713,129024,129024,oracle_like_hard_intervention,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_hard_intervention_oracle_0
ettm1_intervention_intermediate,0.30139636993408203,0.34539228677749634,6.2403059005737305,1.2573450803756714,0.7057756090920522,0.7057756090920522,0.6296838177454944,129024,129024,llm_rule_features,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_intermediate_0
ettm1_intervention_intermediate_plus_event_loss,0.308224081993103,0.34848102927207947,6.431990146636963,1.2715277671813965,0.8047673664395147,0.8047673664395147,0.6327728952921737,129024,129024,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_intermediate_plus_event_loss_0
ettm1_intervention_intermediate_plus_event_loss_plus_reg,0.3080531060695648,0.3502469062805176,6.515244960784912,1.291043758392334,0.7236697484575952,0.7236697484575952,0.6435145568670714,129024,129024,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_intermediate_plus_event_loss_plus_reg_0
ettm1_intervention_intermediate_scale01_plus_event_loss_plus_reg,0.30782708525657654,0.3490358889102936,6.386602878570557,1.2769546508789062,0.7904867747472726,0.7904867747472726,0.5942680211576672,129024,129024,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_intermediate_scale01_plus_event_loss_plus_reg_0
ettm1_intervention_output_rule_adapter,0.36563536524772644,0.4042348861694336,6.718493461608887,1.4129153490066528,0.5890002780489995,0.5890002780489995,0.6270905347333349,129024,129024,llm_rule_features,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_output_rule_adapter_0
ettm1_intervention_pure_dlinear,0.3070307970046997,0.35280048847198486,6.433851718902588,1.2998449802398682,0.6213584778800362,0.6213584778800362,0.5863107006437542,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_intervention_pure_dlinear_0
ettm1_longtail_low_weights,0.3121488094329834,0.35599660873413086,6.535249710083008,1.3076846599578857,0.5893484448629256,0.5893484448629256,0.5932332266057178,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_longtail_low_weights_0
ettm1_longtail_medium_weights,0.31791990995407104,0.35925406217575073,6.730981349945068,1.3235801458358765,0.5540321592300228,0.5540321592300228,0.5979950686894918,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_longtail_medium_weights_0
ettm1_mined_calendar_baseline_eval_rawinput,0.3070307970046997,0.35280048847198486,6.433851718902588,1.2998449802398682,0.0704633635233968,0.0704633635233968,0.6928192855383898,78720,78720,llm_rule_features,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_mined_calendar_baseline_eval_rawinput_0
ettm1_mined_calendar_intervention_event_only,0.3077198565006256,0.3534640669822693,6.439504146575928,1.3009092807769775,0.10090908887908398,0.10090908887908398,0.7184644883655832,78720,78720,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_mined_calendar_intervention_event_only_0
ettm1_regime_residual_prior_eval,0.31000104546546936,0.35429847240448,6.487436294555664,1.3041690587997437,0.7980983068071988,0.7980983068071988,0.6709237265220547,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_regime_residual_prior_eval_0
ettm1_rule_prior_alpha_025,0.30814144015312195,0.3542165160179138,6.43132209777832,1.3043001890182495,0.6854112413193914,0.6854112413193914,0.6511425856473677,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_025_0
ettm1_rule_prior_alpha_05,0.3157895505428314,0.35928207635879517,6.500326156616211,1.3189624547958374,1.1397284855917396,1.1397284855917396,0.6075705722425485,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_05_0
ettm1_rule_prior_alpha_05_plus_event_loss,0.38106125593185425,0.40771427750587463,8.035751342773438,1.5115407705307007,1.0621789599221028,1.0621789599221028,0.6063910139816123,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_05_plus_event_loss_0
ettm1_rule_prior_alpha_075,0.33001866936683655,0.36517366766929626,6.64137601852417,1.3356555700302124,1.9904957120379163,1.9904957120379163,0.5062373596393114,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_075_0
ettm1_rule_prior_alpha_10,0.35081472992897034,0.3710794150829315,6.854153156280518,1.3514878749847412,3.23633805532279,3.23633805532279,0.424819714141713,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_alpha_10_0
ettm1_rule_prior_dataset_aware_loss,0.3663480877876282,0.38734644651412964,7.775156497955322,1.4302791357040405,0.4488643767341387,0.4488643767341387,0.6130116472076558,129024,129024,dataset_aware_loss,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_dataset_aware_loss_0
ettm1_rule_prior_hard_intervention_diagnostic,0.35081472992897034,0.3710794150829315,6.854153156280518,1.3514878749847412,3.236338297525791,3.236338297525791,0.424819714141713,129024,129024,oracle_like_hard_intervention,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_hard_intervention_diagnostic_0
ettm1_rule_prior_intermediate_intervention,0.30139636993408203,0.34539228677749634,6.2403059005737305,1.2573450803756714,0.7057756090920522,0.7057756090920522,0.6296838177454944,129024,129024,llm_rule_features,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_intermediate_intervention_0
ettm1_rule_prior_output_rule_adapter,0.36563536524772644,0.4042348861694336,6.718493461608887,1.4129153490066528,0.5890002780489995,0.5890002780489995,0.6270905347333349,129024,129024,llm_rule_features,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_output_rule_adapter_0
ettm1_rule_prior_pure_dlinear,0.3070307970046997,0.35280048847198486,6.433851718902588,1.2998449802398682,0.6213584778800362,0.6213584778800362,0.5863107006437542,129024,129024,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_rule_prior_pure_dlinear_0
ettm1_soft_event_full_dlinear_w1_p2_guarded,1.1068609952926636,0.7871744632720947,19.07351303100586,2.7025885581970215,1.259899563259451,1.259899563259451,0.697731223697375,129024,129024,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_soft_event_full_dlinear_w1_p2_guarded_0
ettm1_soft_event_intervention_finetune_w05_p2_scale01,0.30767130851745605,0.3530432879924774,6.4354400634765625,1.3000789880752563,0.659466334751623,0.659466334751623,0.6358271135288315,129024,129024,"llm_rule_features, dataset_aware_loss",results\long_term_forecast_DLinear_ETTm1_ftM_sl336_ll48_pl96_ettm1_soft_event_intervention_finetune_w05_p2_scale01_0
ettm1_dlinear_seq96_confirm,0.34297195076942444,0.36980143189430237,7.132079124450684,1.3613827228546143,0.0,0.0,0.0,0,0,pure_dlinear,results\long_term_forecast_DLinear_ETTm1_ftM_sl96_ll48_pl96_ettm1_dlinear_seq96_confirm_0
